timestamp," ""logmsg"""," ""tags"""," ""syslog.severity"""," ""syslog.procid"""," ""syslog.priority"""," ""syslog.host"""," ""syslog.facility"""," ""syslog.appName"""," ""logtypes"""," ""http.contentType"""," ""http.clientHost"""," ""derived.status"""," ""derived.service"""," ""derived.load-avg-1m"""
2016-06-17 12:22:39.780 -07:00,"at=info method=GET path=""/m2/q1labs/qvmworkflow/7.2.8.team-cobra.20160617190434/qvmworkflow-7.2.8.team-cobra.20160617190434.jar"" host=plugins.gradle.org request_id=558c03c0-6800-426e-9192-3d207254012c fwd=""32.97.110.58,172.68.35.28"" dyno=web.1 connect=1ms service=3ms status=303 bytes=220",['gradle-prod-plugins'],Informational,router,158,host,local use 3,heroku,"['syslog', 'Heroku service time', 'Heroku HTTP status']",application/logplex-1,54.146.239.138,303,3,
2016-06-17 12:22:39.423 -07:00,"at=info method=GET path=""/m2/tesouraria-clients-cef/clients-cef-integracao/1.1.113.0/clients-cef-integracao-1.1.113.0-test-sources.jar"" host=plugins.gradle.org request_id=921bb016-a899-42b6-9178-2de72f9c8602 fwd=""104.192.142.148,173.245.56.201"" dyno=web.1 connect=0ms service=2ms status=303 bytes=227",['gradle-prod-plugins'],Informational,router,158,host,local use 3,heroku,"['syslog', 'Heroku service time', 'Heroku HTTP status']",application/logplex-1,54.196.225.223,303,2,
2016-06-17 12:22:39.312 -07:00,"at=info method=GET path=""/m2/com/palantir/degen/epoch/degen-epoch-common/0.2.9-dev.30+gc54f693.b29/degen-epoch-common-0.2.9-dev.30+gc54f693.b29.jar"" host=plugins.gradle.org request_id=1a72f6dd-d443-45fa-bdf5-ec1964c7ae8e fwd=""206.188.26.40,162.158.255.155"" dyno=web.1 connect=0ms service=1ms status=303 bytes=240",['gradle-prod-plugins'],Informational,router,158,host,local use 3,heroku,"['syslog', 'Heroku service time', 'Heroku HTTP status']",application/logplex-1,54.80.99.110,303,1,
2016-06-17 12:22:37.628 -07:00,"at=info method=GET path=""/m2/org/springframework/spring-all/3.2.8/spring-all-3.2.8.jar"" host=plugins.gradle.org request_id=51eb460d-fc39-4b30-8cd8-48b0cd51f1b6 fwd=""32.97.110.58,172.68.34.213"" dyno=web.1 connect=1ms service=3ms status=303 bytes=179",['gradle-prod-plugins'],Informational,router,158,host,local use 3,heroku,"['syslog', 'Heroku service time', 'Heroku HTTP status']",application/logplex-1,54.144.59.137,303,3,
2016-06-17 12:22:37.292 -07:00,"at=info method=GET path=""/m2/ssq/ca/servicerapport-sdk/20160607.1100/servicerapport-sdk-20160607.1100.jar"" host=plugins.gradle.org request_id=b3b15cad-aabd-4247-97a2-d08760c23b7a fwd=""104.192.142.148,173.245.54.27"" dyno=web.1 connect=0ms service=2ms status=303 bytes=198",['gradle-prod-plugins'],Informational,router,158,host,local use 3,heroku,"['syslog', 'Heroku service time', 'Heroku HTTP status']",application/logplex-1,54.158.113.198,303,2,
2016-06-17 12:22:36.129 -07:00,"at=info method=GET path=""/m2/com/nokia/ec/building/ec-publication-format/7.5.0-20160616-637/ec-publication-format-7.5.0-20160616-637.jar"" host=plugins.gradle.org request_id=b8a19702-1a6b-4621-a0c4-9a79b5019405 fwd=""54.236.124.56,173.245.56.62"" dyno=web.1 connect=0ms service=2ms status=303 bytes=229",['gradle-prod-plugins'],Informational,router,158,host,local use 3,heroku,"['syslog', 'Heroku service time', 'Heroku HTTP status']",application/logplex-1,54.226.66.196,303,2,
2016-06-17 12:22:36.037 -07:00,"at=info method=GET path=""/m2/org/fusesource/hawtjni/hawtjni-project/1.6/hawtjni-project-1.6.jar"" host=plugins.gradle.org request_id=39b47e11-3ce6-45aa-bf50-ce0b39a69e0a fwd=""104.192.142.148,173.245.56.200"" dyno=web.1 connect=0ms service=2ms status=303 bytes=188",['gradle-prod-plugins'],Informational,router,158,host,local use 3,heroku,"['syslog', 'Heroku service time', 'Heroku HTTP status']",application/logplex-1,54.242.173.217,303,2,
2016-06-17 12:22:35.433 -07:00,"at=info method=GET path=""/m2/org/apache/hadoop/hadoop-distcp/2.6.0-cdh5.4.8/hadoop-distcp-2.6.0-cdh5.4.8.jar"" host=plugins.gradle.org request_id=765969a0-2895-4017-81d8-bc4367e0d895 fwd=""104.192.142.148,173.245.54.44"" dyno=web.1 connect=0ms service=2ms status=303 bytes=201",['gradle-prod-plugins'],Informational,router,158,host,local use 3,heroku,"['syslog', 'Heroku service time', 'Heroku HTTP status']",application/logplex-1,54.144.59.137,303,2,
2016-06-17 12:22:34.030 -07:00,"at=info method=GET path=""/m2/com/palantir/degen/epoch/degen-epoch-common/0.2.9-dev.30+gc54f693.b29/degen-epoch-common-0.2.9-dev.30+gc54f693.b29.jar"" host=plugins.gradle.org request_id=cbf9b529-b70b-4983-b2fc-b3218c27fd78 fwd=""52.73.248.99,173.245.54.179"" dyno=web.1 connect=0ms service=2ms status=303 bytes=240",['gradle-prod-plugins'],Informational,router,158,host,local use 3,heroku,"['syslog', 'Heroku service time', 'Heroku HTTP status']",application/logplex-1,54.227.58.125,303,2,
2016-06-17 12:22:33.393 -07:00,"at=info method=GET path=""/m2/javax/xml/jsr173/1.0/jsr173-1.0-sources.jar"" host=plugins.gradle.org request_id=395e805b-ef92-42e7-a17d-ea6273369855 fwd=""104.192.142.148,173.245.54.76"" dyno=web.1 connect=2ms service=3ms status=303 bytes=165",['gradle-prod-plugins'],Informational,router,158,host,local use 3,heroku,"['syslog', 'Heroku service time', 'Heroku HTTP status']",application/logplex-1,54.221.138.149,303,3,
